"生产日期
Production Date","内部机型
Internal Model","类型
Type","总部
HQ","主板板型
Mainboard model",MODELO+PCB,"组件号
MB part number","总BOM数量
Material QTY","手插件数
Hi material QTY","手插率
Hand insertion rate","芯片方案
Chip Solution",内置TCON,"液晶屏物料号
LCD Part No.","液晶屏型号描述
LCD Description","液晶面板
SKD panel","屏幕厂家
LCD Brand","屏接口类型
LCD interface type",TOOL,TOOL SW,"转接板
Converter",TCON,FFC,"通用远程拾音板
MIC Board","远程拾音线
MIC cable","多合一端子板（非远程拾音）
all-in-one board（non MIC）","多合一端子板连接线
all-in-one board cable",备注/Remarks,配套远程拾音板,WiFi模块,WiFi模块描述,,,
2023/8/10,32A35HUA,3 IN 1,JiangMen,TP.MT9216T.PB702 E,32A35HUATP.MT9216T.PB702 E,CVTE,/,/,/,主控IC\MT9216HAATHB\TP\JK\ROH,是,347747,液晶屏\JHD315H1F61-TXL4B1\S0\GM\ROH,液晶屏面板\PT320CT01-3\GM\ROH,惠科(HKC),51pin(LVDS),2K LVDS,/,/,/,51pin(FB0301004900),,,,,,,,,,,
2023/8/17,70A51HUR(0002),REFLOW,HuangDao,11722,70A51HUR(0002)11722,347132,/,/,/,主控IC\MT9010PAATDA\TP\ROH,是,347573,液晶屏\HD700Y1U41-T0L3\S0\GM\ROH,液晶屏面板\JE695R3HD2L\GM\ROH,夏普(SDP),1*68pin(PTP),4K VB1,/,11477,"331241
TCON-ZJ贴片单元\RSAG2.908.12980TP\ROH",68pin(1250761),,,,,,,,,,,
2023/8/17,75A51HUR(0002),REFLOW,HuangDao,11722,75A51HUR(0002)11722,342986,/,/,/,主控IC\MT9010PAATDA\TP\ROH,否,345735,液晶屏\HD750H1U41-TAL4K1\S0\SM\ROH,液晶屏面板\JR745R3HC5Y\SM\ROH,夏普(SDP),51pin(VB1),4K VB1,/,/,/,51pin(FB0301004900),,,,,,,,,,,
2023/8/17,55A51HUA(0030),3 IN 1,HuangDao,12970,55A51HUA(0030)12970,348798,640,30,4.69%,主控IC\MT9612IAATNC\TP\JK\ROH,是,350568,液晶屏\HD550H1U71-T0LF\S0\GM\ROH,液晶屏面板\HF550QUB-F20\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,"1245134
高速信号线\FFC-L-68KP-76.5\76.5\ROH",68pin(1250761),,,,,macroluck,,,,,,
2023/8/31,43A35HUA,3 IN 1,JiangMen,TP.MT9216T.PB703 D,43A35HUATP.MT9216T.PB703 D,CVTE,/,/,/,主控IC\MT9216HAATHB\TP\JK\ROH,是,348061,液晶屏\JHD425H1F71-T0KT\S1\FM\ROH\广,液晶屏面板\HV430FHB-F90\FM\ROH,京东方(BOE),2*68pin(Mini LVDS),MINI LVDS,Mini12,ZH_MINI_FHD_2_68,/,68pin(FB0301014574),,,,,"1235922 高速信号线\FFC-L-68-KP-177-Z2\177\ROH FFC线（左）
1235925 高速信号线\FFC-L-68-KP-163-Z2\163\ROH FFC线（右）",,,,,,
2023/8/31,75A51HUA(0030),REFLOW,HuangDao,13518,75A51HUA(0030)13518,346848,/,/,/,主控IC\MT9612IAATNC\TP\JK\ROH,是,350643,液晶屏\HD750H1U72-T0LFK1\S0\GM\ROH,液晶屏面板\HV750QUB-F91\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,"308910
TCON-ZJ贴片单元\RSAG2.908.10545-09TP\ROH",68pin(1250761),,,,,,,,,,,
2023/9/7,55U61GUA,REFLOW,HuangDao,12881,55U61GUA12881,331897,/,/,/,MT9612IAATNC,是,331928,液晶屏\HD550Y3U51-T0LG\S0\GM\ROH,液晶屏面板\T550QVN10.0\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"284901
TCON-ZJ贴片单元\RSAG2.908.10595-03TP\ROH",68pin(1250761),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH",,,,Add MIC function/增加远场语音功能,,,,,,
2023/9/7,65U61GUA,REFLOW,HuangDao,12881,65U61GUA12881,331697,/,/,/,MT9612IAATNC,是,331924,液晶屏\HD650Y3U51-T0LG\S0\GM\ROH,液晶屏面板\T650QVN07.5\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"284956
TCON-ZJ贴片单元\RSAG2.908.10595-04TP\ROH",68pin(1250761),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH",1305519 高速信号线\FFC-L-10-KP-590-Z2\590\ROH,,,Add MIC function/增加远场语音功能,,,,,,
2023/9/7,50U61GUA,REFLOW,HuangDao,12881,50U61GUA12881,331066,/,/,/,MT9612IAATNC,是,331910,液晶屏\HD500Y3U53-T0LG\S0\GM\ROH,液晶屏面板\T500QVN04.1\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"315118
TCON-ZJ贴片单元\RSAG2.908.10595-09TP\ROH",68pin(1250761),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH",1305517 高速信号线\FFC-L-10-KP-510-Z2\510\ROH,,,Add MIC function/增加远场语音功能,,,,,,
2023/9/14,70A51HXVT,REFLOW,HuangDao,12881,70A51HXVT12881,339512,/,/,/,主控IC\MT9602RAATAC\TP\JK\ROH,否,338760,液晶屏\HD700X1U92-TABY\S1\GM\ROH,液晶屏面板\CV700U2-T01-V04\GM\ROH,惠科(HKC),51pin(VB1),4K VB1,/,/,/,51pin(FB0301004900),,,,,Colombia model,,,,,,
2023/9/16,85A66GUA,REFLOW,HuangDao,11493,85A66GUA11493,315847,/,/,/,主控IC\MT9612IAATNC\TP\JK\ROH,否,316948,液晶屏\HD850Y3U51-L1M1\S0\GM\ROH,液晶屏面板\T850QVN03.4\JK\GM\ROH,友达(AUO),51pin(VB1),4K VB1,/,/,"1241470
TCON板\T850QVN03.4\55.85T14.C06\JK\ROH---外购TCON",51pin(FB0301004900),,,,,,,,,,,
2023/9/23,65A51HUR(0002),REFLOW,HuangDao,11722,65A51HUR(0002)11722,342320,/,/,/,主控IC\MT9010PAATDA\TP\ROH,是,343958,液晶屏\HD650H1U73-T0L1B6\S0\GM\ROH,液晶屏面板\HV650QUB-F72\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,"343804
TCON-ZJ贴片单元\RSAG2.908.11538-07TP\ROH",68pin(1250761),,,,,,,,,,,
2023/9/23,58A51HUV,3 IN 1,HuangDao,12970,58A51HUV12970,334547,647,30,4.64%,主控IC\MT9602RAATAC\TP\JK\ROH,否,328132,液晶屏\HD580Y1U92-TAL2\S0\GM\ROH,液晶屏面板\CV580U1-T01-V02\JK\GM\ROH,惠科(HKC),51pin(VB1),4K VB1,/,/,/,51pin(FB0301004900),,,,,macroluck,,,,,,
2023/9/28,50U65KXAT,REFLOW,HuangDao,13518,50U65KXAT13518,346549,/,/,/,MT9612IAATNC,是,340971,液晶屏\HD500Y3U53-T0L7K2\S0\FM\ROH,液晶屏面板\T500QVN04.1\JK\FM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"340514
TCON-ZJ贴片单元\RSAG2.908.13027-02TP\ROH",68pin(1250761),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH","1312405
高速信号线\FFC-L-10-KP-510-Z2-1\510\ROH",,,Add MIC function/增加远场语音功能,,,,,,
2023/10/1,75U61GUF,REFLOW,HuangDao,TD.MT9020.703 B21015/Fire TV,75U61GUFTD.MT9020.703 B21015/Fire TV,CVTE,/,/,/,MT9020IAATWA,否,351963,液晶屏\HD750H3U72-TALGB1\S0\GM\ROH,液晶屏面板\HV750QUB-F92\GM\ROH,京东方(BOE),51pin(VB1),4K VB1,/,/,/,51pin(FB0301004900),,,,,,,,,,,
2023/10/2,65U69KUF,REFLOW,HuangDao,TD.MT9020.703 B21015/Fire TV,65U69KUFTD.MT9020.703 B21015/Fire TV,CVTE,/,/,/,,,350958,液晶屏\HD650H3U72-TALG\S0\GM\ROH,液晶屏面板\HV650QUB-F71\GM\ROH,京东方(BOE),51pin(VB1),4K VB1,/,/,/,51pin(FB0301004900),,,,,,,,,,,
2023/10/5,65U65KXAT,REFLOW,HuangDao,13518,65U65KXAT13518,345597,/,/,/,MT9612IAATNC,是,344099,液晶屏\HD650H3U52-T0LAK5\S0\GM\ROH,液晶屏面板\T650QVN07.5\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"333518
TCON-ZJ贴片单元\RSAG2.908.13027TP\ROH",68pin(1250761),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH",1312405 高速信号线\FFC-L-10-KP-510-Z2-1\510\ROH,,,Add MIC function/增加远场语音功能,,,,,,
2023/10/5,55U65KXAT,REFLOW,HuangDao,13518,55U65KXAT13518,345730,/,/,/,MT9612IAATNC,是,343753,液晶屏\HD550H3U52-T0LAK5\S0\FM\ROH,液晶屏面板\T550QVN10.0\JK\FM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"336447
TCON-ZJ贴片单元\RSAG2.908.13027-01TP\ROH",68pin(1250761),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH",1312244 高速信号线\FFC-L-10-KP-560-Z2\560\ROH,,,Add MIC function/增加远场语音功能,,,,,,
2023/10/8,85A53HUA,REFLOW,HuangDao,13518,85A53HUA13518,346814,/,/,/,主控IC\MT9612IAATQA\TP\JK\ROH,否,352292,液晶屏\HD850H1U51-TBL2\S0\GM\ROH,液晶屏面板\T850QVN03.4\JK\GM\ROH,友达(AUO),51pin(VB1),4K VB1,/,/,/,51pin(FB0301004900),,,,,,,,,,,
2023/10/12,43A35EUA(0003),3 IN 1,JiangMen,TP.MT9216T.PB703 D22112/Hisense TV,43A35EUA(0003)TP.MT9216T.PB703 D22112/Hisense TV,CVTE,/,/,/,,是,268419,液晶屏\JHD425X1F71-T0L1\S0\FM\ROH\广,液晶屏面板\HV430FHB-F90\FM\ROH,京东方(BOE),2*68pin(Mini LVDS),MINI LVDS,Mini12,ZH_MINI_FHD_2_68,/,68pin(FB0301014574),,,,,,,,,,,
2023/10/19,55U66GSA,REFLOW,HuangDao,12881,55U66GSA12881,335905,/,/,/,主控IC\MT9612IAATNC\TP\JK\ROH,是,346521,液晶屏\HD550Y3U51-T0L2K4\S0\SM\ROH,液晶屏面板\T550QVN10.0\JK\SM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"336447
TCON-ZJ贴片单元\RSAG2.908.13027-01TP\ROH",68pin(1250761),,,,,,,,,,,
2023/10/28,50A51HSV,3 IN 1,HuangDao,12970,50A51HSV12970,333634,643,30,4.67%,主控IC\MT9602RAATAC\TP\JK\ROH,是,341853,液晶屏\HD500H1U91-T0\S1\GM\ROH,液晶屏面板\CV500U2-L01-V02\JK\GM\ROH,彩虹光电(CHOT),1*60pin(PTP),4K VB1,/,11479,/,60pin(267913),,,,,macroluck,,,,,,
2023/10/28,43A51HSV,3 IN 1,HuangDao,12970,43A51HSV12970,331575,644,30,4.66%,主控IC\MT9602RAATAC\TP\JK\ROH,是,310292,液晶屏\HD425Y1U51-T0L3\S1\GM\ROH,液晶屏面板\T430QVN03.7\EC\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"285068
TCON-ZJ贴片单元\RSAG2.908.10595-06TP\ROH",68pin(1250761),,,,,macroluck,,,,,,
2023/10/28,65A51HSV,REFLOW,HuangDao,12881,65A51HSV12881,335709,/,/,/,主控IC\MT9602RAATAC\TP\JK\ROH,是,338482,液晶屏\HD650Y1U51-T0BY\S0\GM\ROH,液晶屏面板\T650QVN07.5\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"306217
TCON-ZJ贴片单元\RSAG2.908.11133-14TP\ROH",68pin(1250761),,,,,,,,,,,
2023/11/9,43A53FUA(0028),3 IN 1,HuangDao,12970,43A53FUA(0028)12970,335833,642,30,4.67%,主控IC\MT9612IAATQA\TP\JK\ROH,是,336767,液晶屏\HD425Y1U71-T0LG\S0\GM\ROH,液晶屏面板\HV430QUB-F70\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,"308380
TCON-ZJ贴片单元\RSAG2.908.11117-09TP\ROH",68pin(1250761),,,,,macroluck,,,,,,
2023/11/14,40A35HUV(0002),3 IN 1,JiangMen,13374,40A35HUV(0002)13374,340574,730,23,3.15%,主控IC\NT72690TBG-8C2K\TP\ROH,是,341326,液晶屏\JHD400H1F03-T0L1\S0\ROH\广,液晶屏面板\V400HJB-P03-C6\ROH,群创(INX),1*68pin(Mini LVDS),MINI LVDS,Mini11,ZH-MINI-FHD-68_1_1,/,68pin(FB0301014574),,,,,FFC cannot exceed 40 cm,,,,,,
2023/11/14,43A35HSV(0010),3 IN 1,JiangMen,13374,43A35HSV(0010)13374,354050,651,26,3.99%,主控IC\NT72690TBG-8C2K\TP\ROH,否,347917,液晶屏\JHD425H1F61-T0L1\S0\FM\ROH\广,液晶屏面板\PT430CT05-2\FM\ROH,惠科(HKC),51pin(MiniLVDS),MINI LVDS,Mini15,ZH-mini-fhd_51,,51pin(FB0301004900),,,,,Colombia model,,,,,,
2023/11/16,32A35HSV(0010),3 IN 1,JiangMen,12947,32A35HSV(0010)12947,345306,682,28,4.11%,主控IC\NT72690TBG-8C2K\TP\ROH,是,341812,屏\JHD315H1H71-T0B1\S0\GM\ROH\广,液晶屏面板\HV320WHB-F56\GM\ROH,京东方(BOE),1*60pin(Mini LVDS),MINI LVDS,Mini13,ZH_MINI_HD_3,/,60pin(267913),,,,,macroluck used LCD screen,,,,,,
2023/11/28,65C350MS,REFLOW,HuangDao,13518,65C350MS13518,349343,/,/,/,主控IC\MT9602RAATAC\TP\JK\ROH,是,347873,液晶屏\HD650H1U73-T0L3KTB6\S0\GM\ROH,液晶屏面板\HV650QUB-F72\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,"343804
TCON-ZJ贴片单元\RSAG2.908.11538-07TP\ROH",68pin(1250761),,,,,,,,,,,
2023/11/30,50C350MS,3 IN 1,HuangDao,12970,50C350MS12970,347135,643,30,4.67%,主控IC\MT9602RAATAC\TP\JK\ROH,是,347665,液晶屏\HD500H1U91-T0KT\S0\GM\ROH,液晶屏面板\CV500U2-L01-V02\JK\GM\ROH,彩虹光电(CHOT),1*60pin(PTP),4K VB1,/,11479,/,60pin(FB0301004928),,,,,macroluck,,,,,,
2023/12/14,43A35HUR(0002),3 IN 1,JiangMen,13461,43A35HUR(0002)13461,344307,621,24,3.86%,主控IC\T950R4-B5\TP\ROH,否,345487,液晶屏\JHD425H1F72-T0\S0\ROH\广,液晶屏面板\HV430FHB-F93\ROH,京东方(BOE),51pin(MiniLVDS),MINI LVDS,Mini15,ZH-mini-fhd_51,/,51pin(FB0301004900),,,,,,,,,,,
2023/12/14,40A35HUR(0002),3 IN 1,JiangMen,13461,40A35HUR(0002)13461,353277,729,24,3.29%,主控IC\T950R4-B5\TP\ROH,是,353978,液晶屏\JHD400H1F03-T0L1\S2\ROH\广,液晶屏面板\V400HJB-P03-C6\ROH,群创(INX),1*68pin(Mini LVDS),MINI LVDS,Mini11,ZH-MINI-FHD-68_1_1,/,68pin(1250761),,,,,"FFC cannot exceed 40 cm
1309559
高速信号线\FFC-L-68-KP-120-Z1-1\120\ROH",,,,,,
2023/12/14,55C350MS,3 IN 1,HuangDao,12970,55C350MS12970,346807,644,30,4.66%,主控IC\MT9602RAATAC\TP\JK\ROH,是,348778,液晶屏\HD550H1U62-T0L2KT\S0\GM\ROH,液晶屏面板\PT550GT08-1\GM\ROH,惠科(HKC),1*68pin(PTP),4K VB1,/,11477,"334653
TCON-ZJ贴片单元\RSAG2.908.13134TP\ROH",68pin(1250761),,,,,macroluck,,,,,,
2023/12/15,100E75LUA,REFLOW,HuangDao,13512,100E75LUA13512,357650,/,/,/,MT9618GAATAB,否,357280,液晶屏\HD100H7U62-L8\S0\GM\ROH,液晶屏面板\PTA00GT01-3\GM\ROH,惠科(HKC),41pin+51pin(VB1),4K VB1,/,/,/,41pin(1220743)+51pin(FB0301004900),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH","1314020
高速信号线\FFC-L-10-KP-765-Z2\765\ROH",,,Add MIC function/增加远场语音功能,,,,,,
2023/12/21,75U66KUA(0002),REFLOW,HuangDao,13518,75U66KUA(0002)13518,355133,/,/,/,MT9612IAATNC,是,357146,液晶屏\HD750H3U72-T0LHK1\S0\GM\ROH,液晶屏面板\HV750QUB-F92\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,"333442
TCON-ZJ贴片单元\RSAG2.908.12360-05TP\ROH",68pin(1250761),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH","1312449
高速信号线\FFC-L-10-KP-720-Z2-1\720\ROH",,,Add MIC function/增加远场语音功能,,,,,,
2023/12/21,75A51HUA(0018),REFLOW,HuangDao,13518,75A51HUA(0018)13518,346846,/,/,/,主控IC\MT9612IAATQA\TP\JK\ROH,是,350431,液晶屏\HD750H1U72-T0LGK1\S0\GM\ROH,液晶屏面板\HV750QUB-F91\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,"308910
TCON-ZJ贴片单元\RSAG2.908.10545-09TP\ROH",68pin(1250761),,,,,,"343483
远场板组件\RSAG2.908.12678-06\ROH",,,,,
2023/12/25,70A51HSV,REFLOW,HuangDao,12881,70A51HSV12881,335967,/,/,/,主控IC\MT9602RAATAC\TP\JK\ROH,否,338760,液晶屏\HD700X1U92-TABY\S1\GM\ROH,液晶屏面板\CV700U2-T01-V04\GM\ROH,惠科(HKC),51pin(VB1),4K VB1,/,/,/,51pin(FB0301004900),,,,,,"343483
远场板组件\RSAG2.908.12678-06\ROH",,,,,
2023/12/28,75C350LU(0003),REFLOW,HuangDao,TD.T962X3.703（T） B22318/Hisense TV,75C350LU(0003)TD.T962X3.703（T） B22318/Hisense TV,CVTE,/,/,/,主控IC\T962X3Z-J0E\TP\ROH,是,400176,液晶屏\HD750H1U72-T0L4K1\S1\GM\ROH,液晶屏面板\HV750QUB-F91\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,"308910
TCON-ZJ贴片单元\RSAG2.908.10545-09TP\ROH",68pin(1250761),,,,,,,,,,,
2024/1/5,32A35HUR(0002),3 IN 1,JiangMen,13591,32A35HUR(0002)13591,351318,679,24,3.53%,主控IC\T950R4-B5\TP\ROH,是,353889,液晶屏\JHD315H1H01-T0L1B1\S0\ROH\广,液晶屏面板\V320BJ9-Q01-CA\ROH,群创(INX),1*60pin(Mini LVDS),MINI LVDS,Mini14,ZH_MINI_HD_3,/,60pin(FB0301004928),,,,,"1233134
高速信号线\FFC-L-60KP-90-Z1\90\ROH",,,,,,
2024/1/5,65U66KUA(0002),REFLOW,HuangDao,13518,65U66KUA(0002)13518,351435,/,/,/,MT9612IAATNC,是,355005,液晶屏\HD650H3U52-T0LH\S0\GM\ROH,液晶屏面板\T650QVN07.5\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"354024
TCON-ZJ贴片单元\RSAG2.908.13027-06TP\ROH",68pin(1250761),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH","1312244
高速信号线\FFC-L-10-KP-560-Z2\560\ROH",,,Add MIC function/增加远场语音功能,,,,,,
2024/1/5,85A53HUR,REFLOW,HuangDao,11722,85A53HUR11722,346316,/,/,/,主控IC\MT9010PAATDA\TP\ROH,否,352169,液晶屏\HD850H1U51-TAL2\S0\GM\ROH,液晶屏面板\T850QVN03.4\JK\GM\ROH,友达(AUO),51pin(VB1),4K VB1,/,/,/,51pin(FB0301004900),,,,,,,,,,,
2024/1/5,55U66KUA(0002),REFLOW,HuangDao,13518,55U66KUA(0002)13518,351435,/,/,/,MT9612IAATNC,是,352431,液晶屏\HD550H3U52-T0LH\S0\GM\ROH,液晶屏面板\T550QVN10.0\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"353218
TCON-ZJ贴片单元\RSAG2.908.13027-04TP\ROH",68pin(1250761),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH","1312244
高速信号线\FFC-L-10-KP-560-Z2\560\ROH",,,Add MIC function/增加远场语音功能,,,,,,
2024/1/18,75A51HUA,REFLOW,HuangDao,13518,75A51HUA13518,346888,/,/,/,主控IC\MT9612IAATQA\TP\JK\ROH,是,348187,液晶屏\HD750H1U72-T0L4K1\S0\GM\ROH,液晶屏面板\HV750QUB-F91\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,"308910
TCON-ZJ贴片单元\RSAG2.908.10545-09TP\ROH",68pin(1250761),,,,,,,,,,,
2024/1/28,75C350MS,REFLOW,HuangDao,13518,75C350MS13518,350240,/,/,/,MT9603EAATAC,是,347833,液晶屏\HD750H1U71-TAL8KT\S0\GM\ROH,液晶屏面板\HV750QUB-F92\GM\ROH,京东方(BOE),51pin(VB1),4K VB1,/,/,"332551
TCON板贴片单元\RSAG2.908.13009-01TP\ROH",51pin(FB0301004900),,,,,,,,,,,
2024/2/6,43C350LU,3 IN 1,HuangDao,TPD.T962X3.PC702（T）C22318/Fire TV,43C350LUTPD.T962X3.PC702（T）C22318/Fire TV,CVTE,/,/,/,MT9603EAATAC,是,323650,液晶屏\HD425Y1U71-T0L5\S1\GM\ROH,液晶屏面板\HV430QUB-F70\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,"308380
TCON-ZJ贴片单元\RSAG2.908.11117-09TP\ROH",68pin(1250761),,,,,,,,,,,
2024/2/10,50C350LU,3 IN 1,HuangDao,TPD.T962X3.PC702（T）C22318/Fire TV,50C350LUTPD.T962X3.PC702（T）C22318/Fire TV,CVTE,/,/,/,MT9603EAATAC,是,313379,液晶屏\HD500Y1U52-T0LB\S0\GM\ROH,液晶屏面板\T500QVN04.1\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"313436
TCON-ZJ贴片单元\RSAG2.908.11133-22TP\ROH",68pin(1250761),,,,,,,,,,,
2024/2/12,65C350LU,REFLOW,HuangDao,TD.T962X3.703（T） B22318/Fire TV,65C350LUTD.T962X3.703（T） B22318/Fire TV,CVTE,/,/,/,MT9603EAATAC,是,327789,液晶屏\HD650Y1U72-T0LBBY\S0\GM\ROH,液晶屏面板\HV650QUB-F70\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477," 286050
TCON-ZJ贴片单元\RSAG2.908.10545-06TP\ROH",68pin(1250761),,,,,,,,,,,
2024/2/14,50C350LU,3 IN 1,HuangDao,TPD.T962X3.PC702（T）C22318/Fire TV,50C350LUTPD.T962X3.PC702（T）C22318/Fire TV,CVTE,/,/,/,MT9603EAATAC,是,313379,液晶屏\HD500Y1U52-T0LB\S0\GM\ROH,液晶屏面板\T500QVN04.1\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"313436
TCON-ZJ贴片单元\RSAG2.908.11133-22TP\ROH",68pin(1250761),,,,,,,,,,,
2024/2/19,43A35HUV(0002),3 IN 1,JiangMen,13814,43A35HUV(0002)13814,356210,736,24,3.26%,主控IC\NT72690TBG-8C2K/W\TP\ROH,是,330656,液晶屏\JHD425H1F51-T0\S0\FM\ROH\广,液晶屏面板\T430HVN01.2\JK\FM\ROH,友达(AUO),2*60pin(Mini LVDS),MINI LVDS,Mini17,ZH-MINI-FHD_60_2_3,/,60pin(FB0301004928),,,,,,333401 远程拾音MIC板组件\RSAG2.908.12678\ROH,,,,,
2024/2/21,65U66LUA,REFLOW,HuangDao,13538,65U66LUA13538,354866,/,/,/,MT9603EAATAC,是,355005,液晶屏\HD650H3U52-T0LH\S0\GM\ROH,液晶屏面板\T650QVN07.5\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"354590
TCON-ZJ贴片单元\RSAG2.908.13027-07TP\ROH",68pin(1250761),"353464
远程拾音MIC板组件\RSAG2.908.12678-10\ROH","1312244
高速信号线\FFC-L-10-KP-560-Z2\560\ROH",,,Add MIC function/增加远场语音功能,333401 远程拾音MIC板组件\RSAG2.908.12678\ROH,,,,,
2024/2/21,55U66LUA,REFLOW,HuangDao,13538,55U66LUA13538,349935,/,/,/,MT9603BAATAC,是,352431,液晶屏\HD550H3U52-T0LH\S0\GM\ROH,液晶屏面板\T550QVN10.0\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"353669
TCON-ZJ贴片单元\RSAG2.908.13027-05TP\ROH",68pin(1250761),"353464
远程拾音MIC板组件\RSAG2.908.12678-10\ROH","1312244
高速信号线\FFC-L-10-KP-560-Z2\560\ROH",,,Add MIC function/增加远场语音功能,333401 远程拾音MIC板组件\RSAG2.908.12678\ROH,,,,,
2024/2/21,75U75LUA,REFLOW,HuangDao,13493,75U75LUA13493,354741,/,/,/,MT9603BAATAC,是,357251,液晶屏\HD750H3U73-T0LN\S0\GM\ROH,液晶屏面板\HV750QUB-E94\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,"356267
TCON-ZJ贴片单元\RSAG2.908.12847-07TP\ROH",68pin(1250761),"1316613
远程拾音模组\HS-2D20\ROH","1319667
高速信号线\FFC-L-10-KP-690-Z3\690\ROH",,,Add MIC function/增加远场语音功能,,,,,,
2024/2/28,65U86LUA,REFLOW,HuangDao,13493,65U86LUA13493,355395,/,/,/,MT9603BAATAC,是,357143,液晶屏\HD650H6U51-T0L4K4\S0\GM\ROH,液晶屏面板\T650QVN07.L\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"331379
TCON-ZJ贴片单元\RSAG2.908.12963TP\ROH",68pin(1250761),"1316613
远程拾音模组\HS-2D20\ROH","1400499
高速信号线\FFC-L-10-KP-635-Z2\635\ROH",,,Add MIC function/增加远场语音功能,,,,,,
2024/2/28,65A51HUA(1037),REFLOW,HuangDao,13538,65A51HUA(1037)13538,356798,/,/,/,MT9603EAATAC,是,401059,液晶屏\HD650H1U51-T0LHB7\S0\GM\ROH,液晶屏面板\T650QVN07.5\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"354590
TCON-ZJ贴片单元\RSAG2.908.13027-07TP\ROH",68pin(1250761),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH","1318911
高速信号线\FFC-L-10-KP-370-Z2\370\ROH",,,Colombia model,,,,,,
2024/2/28,55U75LUA,REFLOW,HuangDao,13493,55U75LUA13493,354741,/,/,/,MT9603BAATAC,是,355524,液晶屏\HD550H3U51-T0LN\S0\GM\ROH,液晶屏面板\T550QVN10.8\JK\GM\ROH,友达(AUO),1*68pin(PTP),4K VB1,/,11477,"332215
TCON-ZJ贴片单元\RSAG2.908.12963-01TP\ROH",68pin(1250761),"1316613
远程拾音模组\HS-2D20\ROH","1319050
高速信号线\FFC-L-10-KP-540-Z3\540\ROH",,,Add MIC function/增加远场语音功能,,,,,,
2024/2/28,75U66LUA,REFLOW,HuangDao,13538,75U66LUA13538,354847,/,/,/,MT9603BAATAC,是,357146,液晶屏\HD750H3U72-T0LHK1\S0\GM\ROH,液晶屏面板\HV750QUB-F92\GM\ROH,京东方(BOE),1*68pin(PTP),4K VB1,/,11477,"344996
TCON-ZJ贴片单元\RSAG2.908.12360-06TP\ROH",68pin(1250761),"333401
远程拾音MIC板组件\RSAG2.908.12678\ROH","1312449
高速信号线\FFC-L-10-KP-720-Z2-1\720\ROH",,,Add MIC function/增加远场语音功能,,,,,,
